year,begin_M,begin_D,end_M,end_D
1951,6,7,7,20
1952,6,14,7,15
1953,5,28,7,24
1954,5,30,7,21
1955,6,15,7,9
1956,5,22,7,12
1957,6,17,7,29
1958,6,25,7,12
1959,6,5,7,20
1960,6,10,7,11
1961,6,9,7,13
1962,6,2,7,20
1963,-9999,-9999,7,13
1964,6,13,7,22
1965,6,12,7,25
1966,5,29,7,13
1967,6,21,7,13
1968,6,13,7,17
1969,6,17,7,15
1970,6,10,7,18
1971,6,3,7,28
1972,6,3,7,18
1973,6,5,7,4
1974,6,11,7,20
1975,6,5,7,15
1976,6,5,7,20
1977,6,7,7,20
1978,6,11,7,3
1979,6,7,7,22
1980,5,29,7,20
1981,6,11,7,16
1982,6,13,7,27
1983,6,12,7,25
1984,6,8,7,17
1985,6,7,7,15
1986,6,16,7,27
1987,6,8,7,24
1988,6,8,7,31
1989,6,8,7,19
1990,5,31,7,18
1991,5,26,7,21
1992,6,7,7,21
1993,5,30,-9999,-9999
1994,6,8,7,10
1995,6,3,7,23
1996,6,7,7,11
1997,6,2,7,18
1998,6,2,7,31
1999,6,3,7,22
2000,6,9,7,18
2001,6,5,7,19
2002,6,11,7,20
2003,6,10,8,1
2004,6,6,7,13
2005,6,11,7,18
2006,6,8,7,27
2007,6,14,7,24
2008,5,28,7,12
2009,6,3,8,3
2010,6,13,7,17
2011,5,22,7,8
2012,6,8,7,16
2013,5,27,7,8
2014,6,3,7,20
2015,6,3,7,24
2016,6,4,7,18
2017,6,20,7,13
2018,6,5,7,9
2019,6,27,7,24
2020,6,10,8,1
2021,5,16,-9999,-9999
